id,planet_radius,planet_type,discovery_Method,planet_mass,discovery_date,orbital_radius,orbital_period,eccentricity
1302,0.937 x Jupiter (estimate),Gas Giant,Microlensing,0.245 Jupiters,2021,1.449 AU,4 years,
1303,1.091 x Jupiter,Gas Giant,Transit,6.01 Jupiters,2021,0.0723 AU,7 days,0.15
1304,1.086 x Jupiter,Gas Giant,Transit,3.61 Jupiters,2021,0.1291 AU,14.6 days,0.3
1305,1.49 x Jupiter,Gas Giant,Transit,0.67 Jupiters,2021,0.051 AU,3.7 days,0.03
1306,1.47 x Jupiter,Gas Giant,Transit,19.7 Jupiters,2021,0.0338 AU,1.7 days,0.0
1307,0.215 x Jupiter,Neptune-like,Transit,6.28 Earths,2021,0.0287 AU,2.5 days,0.0
1308,1.22 x Jupiter (estimate),Gas Giant,Microlensing,1.34 Jupiters,2021,3.59 AU,9.3 years,
1309,1.1 x Jupiter (estimate),Gas Giant,Microlensing,0.32 Jupiters,2021,2.72 AU,9 years,
1310,0.332 x Jupiter,Neptune-like,Transit,13.4 Earths,2021,0.145 AU,16.3 days,
1311,0.204 x Jupiter,Neptune-like,Transit,5.86 Earths,2021,0.1599 AU,21 days,
1312,0.201 x Jupiter,Neptune-like,Transit,5.69 Earths,2021,0.0632 AU,5.7 days,
1313,0.239 x Jupiter,Neptune-like,Transit,7.65 Earths,2021,0.0863 AU,11.3 days,
1314,2.22 x Earth (estimate),Neptune-like,Radial Velocity,5.57 Earths,2021,0.051 AU,5.1 days,
1315,1.875 x Jupiter,Gas Giant,Transit,2.3 Jupiters,2021,0.0389 AU,1.9 days,< 0.01
1316,1.004 x Jupiter,Gas Giant,Transit,2.96386 Jupiters,2021,0.90281 AU,200.5 days,0.03
1317,1.18 x Jupiter (estimate),Gas Giant,Microlensing,2.56 Jupiters,2021,3.32 AU,7.7 years,
1318,0.208 x Jupiter (estimate),Neptune-like,Microlensing,6.059 Earths,2021,1.305 AU,3.2 years,
1319,0.227 x Jupiter,Neptune-like,Transit,6.99 Earths,2016,Unknown,7.8 days,
1320,0.244 x Jupiter,Neptune-like,Transit,7.95 Earths,2016,Unknown,20 days,
1321,1.38 x Earth,Super Earth,Transit,2.48 Earths,2016,Unknown,9 days,
1322,0.215 x Jupiter,Neptune-like,Transit,6.39 Earths,2016,Unknown,7.2 days,
1323,0.202 x Jupiter,Neptune-like,Transit,5.73 Earths,2016,Unknown,26.2 days,
1324,2.11 x Earth,Neptune-like,Transit,5.1 Earths,2016,Unknown,10.4 days,
1325,0.3 x Jupiter,Neptune-like,Transit,11.2 Earths,2016,Unknown,29.7 days,
1326,1.03 x Earth,Super Earth,Transit,1.08 Earths,2016,Unknown,3.9 days,
1327,0.234 x Jupiter,Neptune-like,Transit,7.37 Earths,2016,Unknown,16.3 days,
1328,1.22 x Earth,Super Earth,Transit,1.98 Earths,2016,Unknown,21.2 days,
1329,2.21 x Earth,Neptune-like,Transit,5.52 Earths,2016,Unknown,12.3 days,
1330,2.2 x Earth,Neptune-like,Transit,5.48 Earths,2016,Unknown,17.7 days,
1331,0.247 x Jupiter,Neptune-like,Transit,8.1 Earths,2016,Unknown,13.8 days,
1332,0.207 x Jupiter,Neptune-like,Transit,5.99 Earths,2016,Unknown,23.2 days,
1333,0.203 x Jupiter,Neptune-like,Transit,5.77 Earths,2016,Unknown,5.2 days,
1334,1.19 x Jupiter (estimate),Gas Giant,Transit Timing Variations,0.369 Jupiters,2021,0.15544 AU,24.7 days,0.06
1335,1.01 x Jupiter,Gas Giant,Transit,0.978 Jupiters,2021,0.09564 AU,11.9 days,0.04
1336,1.56 x Earth (estimate),Super Earth,Radial Velocity,3.06 Earths,2021,0.0717 AU,12.8 days,0.13
1337,1.56 x Earth,Super Earth,Transit,3.05 Earths,2016,Unknown,3.8 days,
1338,0.495 x Jupiter,Neptune-like,Transit,26.3 Earths,2021,Unknown,15.5 days,
1339,2.23 x Earth,Neptune-like,Transit,5.6 Earths,2018,Unknown,14.9 days,
1340,1.92 x Earth,Super Earth,Transit,4.35 Earths,2018,Unknown,8.2 days,
1341,1.37 x Earth,Super Earth,Transit,2.45 Earths,2021,Unknown,3.7 days,
1342,1.54 x Earth,Super Earth,Transit,2.99 Earths,2021,Unknown,4.2 days,
1343,0.238 x Jupiter,Neptune-like,Transit,7.61 Earths,2018,Unknown,12.6 days,
1344,0.291 x Jupiter,Neptune-like,Transit,10.7 Earths,2018,Unknown,4.7 days,
1345,1.59 x Earth,Super Earth,Transit,3.15 Earths,2018,Unknown,3.4 days,
1346,2.02 x Earth,Super Earth,Transit,4.74 Earths,2018,Unknown,7.7 days,
1347,1.65 x Earth,Super Earth,Transit,3.36 Earths,2019,Unknown,2.8 days,
1348,2.03 x Earth,Super Earth,Transit,4.78 Earths,2018,Unknown,11.6 days,
1349,0.286 x Jupiter,Neptune-like,Transit,10.4 Earths,2018,Unknown,36.6 days,
1350,1.92 x Earth,Super Earth,Transit,4.35 Earths,2019,Unknown,19.5 days,
1351,0.504 x Jupiter,Neptune-like,Transit,27.2 Earths,2018,Unknown,5.1 days,
1352,0.551 x Jupiter,Neptune-like,Transit,31.6 Earths,2018,Unknown,14.8 days,
1353,0.243 x Jupiter,Neptune-like,Transit,7.85 Earths,2018,Unknown,23 days,
1354,1.79 x Earth,Super Earth,Transit,3.86 Earths,2021,Unknown,9.4 days,
1355,2.23 x Earth,Neptune-like,Transit,5.6 Earths,2019,Unknown,26.3 days,
1356,1.33 x Earth,Super Earth,Transit,2.33 Earths,2019,Unknown,6.1 days,
1357,1.49 x Earth,Super Earth,Transit,2.83 Earths,2019,Unknown,4.5 days,
1358,0.213 x Jupiter,Neptune-like,Transit,6.3 Earths,2018,Unknown,52.7 days,
1359,0.519 x Jupiter,Gas Giant,Transit,0.1935 Jupiters,2021,0.0296 AU,2.3 days,0.0
1360,0.294 x Jupiter,Neptune-like,Transit,9.9 Earths,2021,0.098 AU,12.5 days,0.0
1361,1.49 x Earth (estimate),Super Earth,Radial Velocity,2.83 Earths,2021,0.052 AU,4.8 days,0.0
1362,1.28 x Earth,Super Earth,Transit,3.07 Earths,2021,0.0113 AU,0.5 days,0.0
1363,2.86 x Earth,Super Earth,Transit,15.6 Earths,2021,0.02267 AU,3.1 days,0.17
1364,1.11 x Jupiter,Gas Giant,Imaging,6.3 Jupiters,2021,7506 AU,1101369.9 years,
1365,1.13 x Jupiter (estimate),Gas Giant,Microlensing,7.7 Jupiters,2021,0.79 AU,2.3 years,
1366,1.19 x Jupiter (estimate),Gas Giant,Orbital Brightness Modulation,2.1 Jupiters,2021,Unknown,3.3 days,
1367,1.27 x Jupiter (estimate),Gas Giant,Orbital Brightness Modulation,0.5 Jupiters,2021,Unknown,1.7 days,
1368,1.19 x Jupiter (estimate),Gas Giant,Orbital Brightness Modulation,2 Jupiters,2021,Unknown,2.1 days,
1369,0.225 x Jupiter,Neptune-like,Transit,9.6 Earths,2021,0.1108 AU,18.9 days,0.0
1370,1.09 x Jupiter,Gas Giant,Transit,18.5 Jupiters,2021,0.095 AU,14.5 days,0.01
1371,0.276 x Jupiter (estimate),Neptune-like,Radial Velocity,9.78 Earths,2021,0.08 AU,8 days,0.14
1372,2.265 x Earth,Super Earth,Transit,10.15 Earths,2021,0.052 AU,4.1 days,0.18
1373,1.1 x Jupiter (estimate),Gas Giant,Microlensing,14.2 Jupiters,2021,2.65 AU,4.8 years,
1374,1.23 x Jupiter (estimate),Gas Giant,Microlensing,1.09 Jupiters,2021,4.27 AU,10.6 years,
1375,1.19 x Jupiter (estimate),Gas Giant,Microlensing,2.22 Jupiters,2021,3.54 AU,8.3 years,
1376,0.225 x Jupiter,Neptune-like,Transit,15 Earths,2021,0.0707 AU,9 days,< 0.062
1377,2.12 x Earth,Neptune-like,Transit,14 Earths,2021,0.0443 AU,4.5 days,< 0.019
1378,1.39 x Earth,Super Earth,Transit,0.17934 Jupiters,2021,0.0291 AU,2.4 days,< 0.14
1379,1.066 x Jupiter,Gas Giant,Transit,4.16 Jupiters,2013,2.027 AU,2.7 years,0.92
1380,1.14 x Jupiter (estimate),Gas Giant,Radial Velocity,6.021 Jupiters,2021,3.166 AU,5.6 years,0.05
1381,1.15 x Jupiter (estimate),Gas Giant,Radial Velocity,5.065 Jupiters,2021,2.905 AU,4.8 years,0.92
1382,1.15 x Jupiter (estimate),Gas Giant,Radial Velocity,4.8 Jupiters,2021,1.552 AU,1.8 years,0.18
1383,1.14 x Jupiter (estimate),Gas Giant,Radial Velocity,5.54 Jupiters,2021,0.768 AU,223.8 days,0.08
1384,1.12 x Jupiter (estimate),Gas Giant,Radial Velocity,8.45 Jupiters,2021,5 AU,10.1 years,0.49
1385,1.17 x Jupiter (estimate),Gas Giant,Radial Velocity,2.99 Jupiters,2021,1.259 AU,1.4 years,0.34
1386,1.703 x Jupiter,Gas Giant,Transit,0.58 Jupiters,2021,0.05387 AU,4 days,< 0.101
1387,1.119 x Jupiter,Gas Giant,Transit,0.614 Jupiters,2021,0.04294 AU,3.4 days,< 0.069
1388,1.073 x Jupiter,Gas Giant,Transit,0.761 Jupiters,2021,0.03772 AU,2.6 days,< 0.101
1389,0.899 x Jupiter,Gas Giant,Transit,1.057 Jupiters,2021,0.0301 AU,1.9 days,< 0.113
1390,1.631 x Jupiter,Gas Giant,Transit,0.574 Jupiters,2021,0.06277 AU,4.8 days,< 0.25
1391,1.123 x Jupiter,Gas Giant,Transit,1.54 Jupiters,2021,0.05064 AU,4.1 days,< 0.03
1392,1.332 x Jupiter,Gas Giant,Transit,0.372 Jupiters,2021,0.04994 AU,4 days,< 0.073
1393,0.306 x Jupiter,Neptune-like,Transit,29 Earths,2021,0.199 AU,35.1 days,0.0
1394,0.33 x Jupiter,Gas Giant,Transit,0.17305 Jupiters,2021,0.142 AU,21 days,0.0
1395,2.771 x Earth,Super Earth,Transit,16.1 Earths,2021,0.088 AU,10.4 days,0.0
1396,1.497 x Earth,Super Earth,Transit,2.44 Earths,2021,0.0122 AU,0.5 days,0.0
1397,1.022 x Jupiter,Gas Giant,Transit,0.441 Jupiters,2021,0.0407 AU,3.5 days,0.0
1398,0.468 x Jupiter,Neptune-like,Transit,23.6 Earths,2021,0.025 AU,2 days,0.0
1399,1.468 x Earth,Super Earth,Transit,3.03 Earths,2021,0.01138 AU,0.7 days,0.0
1400,1.773 x Earth,Super Earth,Transit,7.57 Earths,2021,0.01545 AU,1 days,0.0
1401,2.76 x Earth,Super Earth,Transit,13.2 Earths,2021,0.0657 AU,7.5 days,0.0
1402,2.41 x Earth,Super Earth,Transit,8.56 Earths,2021,0.0367 AU,3.1 days,0.0
1403,0.336 x Jupiter (estimate),Neptune-like,Radial Velocity,13.64 Earths,2021,0.119 AU,19.5 days,0.12
1404,1.17 x Earth (estimate),Super Earth,Radial Velocity,1.71 Earths,2021,0.05402 AU,7 days,
1405,1.76 x Earth (estimate),Super Earth,Radial Velocity,3.75 Earths,2021,0.0525 AU,8.1 days,
1406,1.39 x Earth (estimate),Super Earth,Radial Velocity,2.5 Earths,2021,0.02279 AU,2.3 days,
1407,1.12 x Jupiter (estimate),Gas Giant,Radial Velocity,8.3 Jupiters,2021,4 AU,7.2 years,0.15
1408,1.23 x Jupiter (estimate),Gas Giant,Radial Velocity,0.99 Jupiters,2014,4.95 AU,16.4 years,0.09
1409,1.238 x Jupiter,Gas Giant,Transit,0.51 Jupiters,2021,Unknown,3.8 days,0.0
1410,1.21 x Earth,Super Earth,Transit,10.36 Earths,2021,0.1911 AU,31.8 days,0.0
1411,1.19 x Earth,Super Earth,Transit,9.2 Earths,2021,0.1462 AU,21.2 days,0.0
1412,2.58 x Earth,Super Earth,Transit,11.02 Earths,2021,0.0634 AU,7.7 days,0.0
1413,1.13 x Earth,Super Earth,Transit,2.23 Earths,2021,0.1949 AU,34.2 days,0.0
1414,0.335 x Jupiter (estimate),Neptune-like,Radial Velocity,13.6 Earths,2021,2.94 AU,8.1 years,0.13
1415,1.09 x Jupiter (estimate),Gas Giant,Radial Velocity,15 Jupiters,2021,13.2 AU,43.8 years,0.45
1416,1.2 x Jupiter (estimate),Gas Giant,Radial Velocity,1.764 Jupiters,2021,9.408 AU,28.7 years,0.21
1417,0.764 x Jupiter (estimate),Gas Giant,Radial Velocity,0.173 Jupiters,2021,2.108 AU,3.3 years,0.3
1418,1.06 x Jupiter (estimate),Gas Giant,Radial Velocity,28.46 Jupiters,2021,10.087 AU,30 years,0.92
1419,0.834 x Jupiter (estimate),Gas Giant,Radial Velocity,0.201 Jupiters,2021,1.3 AU,1.4 years,0.11
1420,1.17 x Jupiter (estimate),Gas Giant,Radial Velocity,3.5 Jupiters,2021,13 AU,46.6 years,0.53
1421,0.272 x Jupiter (estimate),Neptune-like,Radial Velocity,9.53485 Earths,2021,0.1192 AU,15.1 days,0.12
1422,0.288 x Jupiter (estimate),Neptune-like,Radial Velocity,10.52012 Earths,2021,0.2292 AU,41.8 days,0.09
1423,0.55 x Jupiter (estimate),Neptune-like,Radial Velocity,31.4968 Earths,2021,1.57 AU,2.2 years,0.09
1424,0.52 x Jupiter,Neptune-like,Transit,27.5 Earths,2021,Unknown,24.4 days,0.12
1425,0.304 x Jupiter,Neptune-like,Transit,11.56 Earths,2021,0.1053 AU,11.6 days,0.14
1426,1.15 x Jupiter (estimate),Gas Giant,Radial Velocity,5.025 Jupiters,2021,11.924 AU,43.1 years,0.39
1427,0.336 x Jupiter (estimate),Neptune-like,Radial Velocity,13.63484 Earths,2021,0.1238 AU,15.5 days,0.16
1428,1.24 x Jupiter (estimate),Gas Giant,Radial Velocity,0.84 Jupiters,2021,5.13 AU,12.4 years,0.1
1429,0.42 x Jupiter (estimate),Neptune-like,Radial Velocity,19.89606 Earths,2021,0.1407 AU,18.3 days,0.34
1430,1.14 x Jupiter (estimate),Gas Giant,Imaging,6.3 Jupiters,2021,115 AU,1176.5 years,
1431,0.27 x Jupiter,Neptune-like,Transit,13.8 Earths,2021,0.08911 AU,10.7 days,0.03
1432,1.418 x Earth,Super Earth,Transit,3.58 Earths,2021,0.0116 AU,0.5 days,0.0
1433,0.326 x Jupiter,Neptune-like,Transit,15.4 Earths,2021,0.1288 AU,24.2 days,0.09
1434,1.21 x Jupiter (estimate),Gas Giant,Radial Velocity,1.5 Jupiters,2021,1.44 AU,1.7 years,0.59
1435,1.25 x Jupiter (estimate),Gas Giant,Radial Velocity,0.75 Jupiters,2021,1.04 AU,352.7 days,0.21
1436,1.25 x Jupiter (estimate),Gas Giant,Radial Velocity,0.75 Jupiters,2021,0.86 AU,270.7 days,0.34
1437,1.11 x Jupiter (estimate),Gas Giant,Radial Velocity,10.4 Jupiters,2021,2.06 AU,3.3 years,0.88
1438,1.25 x Jupiter (estimate),Gas Giant,Radial Velocity,0.72 Jupiters,2021,0.78 AU,265.6 days,0.27
1439,1.21 x Jupiter (estimate),Gas Giant,Radial Velocity,1.36 Jupiters,2021,0.83 AU,307.9 days,0.12
1440,0.247 x Jupiter,Neptune-like,Transit,8.8 Earths,2021,0.0345 AU,3.7 days,0.42
1441,1.19 x Jupiter (estimate),Gas Giant,Radial Velocity,2.102 Jupiters,2021,1.36 AU,455.7 days,0.08
1442,1.2 x Jupiter (estimate),Gas Giant,Radial Velocity,1.79 Jupiters,2021,2.02 AU,2.5 years,0.42
1443,1.13 x Jupiter (estimate),Gas Giant,Radial Velocity,6.77 Jupiters,2021,4.55 AU,7.3 years,0.12
1444,1.2 x Jupiter (estimate),Gas Giant,Radial Velocity,1.94 Jupiters,2021,2.84 AU,4.1 years,0.21
1445,1.86 x Jupiter,Gas Giant,Imaging,7.8 Jupiters,2021,200 AU,22027.4 years,
1446,0.639 x Jupiter,Gas Giant,Transit,0.138 Jupiters,2021,0.1528 AU,18.4 days,0.0
1447,1.21 x Jupiter,Gas Giant,Transit,0.409 Jupiters,2021,0.0448 AU,3.1 days,0.0
1448,1.24 x Jupiter,Gas Giant,Transit,0.764 Jupiters,2021,0.0391 AU,3.2 days,0.0
1449,1.3 x Jupiter,Gas Giant,Transit,0.667 Jupiters,2021,0.0523 AU,4.8 days,0.0
1450,1.1 x Jupiter,Gas Giant,Transit,0.751 Jupiters,2021,0.0441 AU,3.3 days,0.0
1451,1.242 x Earth,Super Earth,Transit,2.33 Earths,2021,0.01848 AU,1.9 days,
1452,0.401 x Jupiter (estimate),Neptune-like,Radial Velocity,18.4 Earths,2021,0.2416 AU,40.9 days,0.07
1453,0.219 x Jupiter,Neptune-like,Transit,7.8 Earths,2021,0.1202 AU,14.3 days,0.08
1454,1.03 x Jupiter,Gas Giant,Transit,0.463 Jupiters,2021,0.0159 AU,1.3 days,< 0.33
1455,1.008 x Jupiter,Gas Giant,Transit,0.42 Jupiters,2021,0.3 AU,53 days,0.28
1456,1.13 x Jupiter (estimate),Gas Giant,Radial Velocity,6.5 Jupiters,2020,1.5 AU,495.4 days,0.27
1457,1.15 x Jupiter (estimate),Gas Giant,Radial Velocity,5 Jupiters,2020,1.7 AU,1.7 years,0.24
1458,1.25 x Jupiter (estimate),Gas Giant,Microlensing,0.77 Jupiters,2021,3.3 AU,9.1 years,
1459,1.14 x Jupiter (estimate),Gas Giant,Microlensing,5.53 Jupiters,2020,3.92 AU,10.5 years,
1460,1.53 x Earth (estimate),Super Earth,Radial Velocity,2.96 Earths,2021,0.029 AU,2.4 days,0.24
1461,1.289 x Earth,Super Earth,Radial Velocity,2.77 Earths,2021,0.01714 AU,1.5 days,0.0
1462,0.749 x Jupiter,Gas Giant,Radial Velocity,0.16937 Jupiters,2021,1.4 AU,2.1 years,0.1
1463,0.235 x Jupiter,Neptune-like,Radial Velocity,7.6 Earths,2021,0.2324 AU,50.8 days,0.45
1464,1.771 x Jupiter,Gas Giant,Transit,0.88 Jupiters,2021,0.06608 AU,5 days,0.05
1465,1.06 x Jupiter,Gas Giant,Transit,6.33 Jupiters,2021,0.0486 AU,3.4 days,0.07
1466,1.267 x Jupiter,Gas Giant,Transit,1.21764 Jupiters,2021,0.069 AU,5.3 days,0.0
1467,1.06 x Jupiter,Gas Giant,Transit,0.851 Jupiters,2021,0.0903 AU,10.2 days,0.02
1468,1.396 x Jupiter,Gas Giant,Transit,2.37 Jupiters,2021,0.0626 AU,4.7 days,0.07
1469,0.444 x Jupiter,Neptune-like,Transit,29.24036 Earths,2021,0.0403 AU,3.5 days,0.0
1470,0.225 x Jupiter (estimate),Neptune-like,Radial Velocity,6.89 Earths,2020,0.0932 AU,13.7 days,0.3
1471,1.83 x Earth (estimate),Super Earth,Radial Velocity,4 Earths,2020,0.0818 AU,14.2 days,0.1
1472,0.311 x Jupiter,Neptune-like,Transit,20.4 Earths,2021,0.1322 AU,17.5 days,0.06
1473,0.269 x Jupiter,Neptune-like,Transit,4.32 Earths,2021,0.23109 AU,42 days,0.06
1474,0.279 x Jupiter (estimate),Neptune-like,Radial Velocity,9.96 Earths,2021,0.2554 AU,53.8 days,0.16
1475,0.299 x Jupiter (estimate),Neptune-like,Radial Velocity,11.2 Earths,2021,0.10519 AU,14.2 days,0.07
1476,0.285 x Jupiter,Neptune-like,Transit,10.3 Earths,2021,0.113 AU,10.2 days,0.2
1477,1.14 x Jupiter (estimate),Gas Giant,Radial Velocity,6.1 Jupiters,2021,0.66 AU,193.2 days,0.08
1478,1.22 x Jupiter (estimate),Gas Giant,Radial Velocity,1.14 Jupiters,2021,1.24 AU,1.4 years,0.41
1479,1.1 x Jupiter (estimate),Gas Giant,Radial Velocity,13.9 Jupiters,2021,1.14 AU,434 days,0.23
1480,0.256 x Jupiter,Neptune-like,Transit,3.94 Earths,2021,0.1275 AU,20.7 days,
1481,2.287 x Earth,Super Earth,Transit,7.72 Earths,2021,0.1039 AU,15.2 days,
1482,2.207 x Earth,Neptune-like,Transit,3.86 Earths,2021,0.0783 AU,10 days,
1483,0.229 x Jupiter,Neptune-like,Transit,3.01 Earths,2021,0.0592 AU,6.6 days,
1484,1.669 x Earth,Super Earth,Transit,4.77 Earths,2021,0.037 AU,3.2 days,
1485,1.152 x Earth,Super Earth,Transit,1.5 Earths,2021,0.02607 AU,1.9 days,
1486,1.142 x Jupiter,Gas Giant,Transit,4.84 Jupiters,2021,0.0549 AU,4.1 days,0.09
1487,2.114 x Earth,Super Earth,Radial Velocity,10.5 Earths,2021,0.068 AU,6.7 days,0.04
1488,2.05 x Earth,Neptune-like,Transit,4.55 Earths,2021,0.035 AU,2.5 days,0.09
1489,1.171 x Jupiter,Gas Giant,Transit,0.667 Jupiters,2020,0.04666 AU,3.7 days,0.02
1490,1.02 x Jupiter,Gas Giant,Transit,1.463 Jupiters,2020,0.02734 AU,1.7 days,0.07
1491,0.774 x Jupiter,Gas Giant,Transit,0.26 Jupiters,2020,0.1016 AU,12.5 days,0.07
1492,0.363 x Jupiter,Neptune-like,Transit,15.6 Earths,2020,0.1208 AU,16.4 days,0.0
1493,0.277 x Jupiter,Neptune-like,Transit,9.8 Earths,2020,0.0823 AU,9.2 days,0.0
1494,1.91 x Earth,Super Earth,Transit,4.31 Earths,2020,0.0283 AU,1.9 days,0.0
1495,2.017 x Earth,Super Earth,Transit,4.72 Earths,2021,0.1758 AU,29.5 days,0.05
1496,0.275 x Jupiter,Neptune-like,Transit,9.71 Earths,2020,0.1367 AU,19.6 days,0.06
1497,0.227 x Jupiter,Neptune-like,Transit,6.98 Earths,2020,0.1074 AU,14.2 days,0.06
1498,2.071 x Earth,Super Earth,Transit,4.94 Earths,2020,0.062 AU,6.2 days,0.03
1499,1.615 x Earth,Super Earth,Transit,3.24 Earths,2020,0.04527 AU,3.8 days,0.04
1500,2.047 x Earth,Super Earth,Transit,6.9 Earths,2020,0.1001 AU,15.7 days,0.09
1501,1.798 x Earth,Super Earth,Transit,5 Earths,2020,0.0653 AU,8.2 days,0.05
1502,2.55 x Earth,Super Earth,Transit,12.6 Earths,2020,0.328 AU,77 days,0.08
1503,2.82 x Earth,Super Earth,Transit,13.2 Earths,2020,0.158 AU,25.7 days,0.12
1504,0.26 x Jupiter,Neptune-like,Transit,5.39 Earths,2020,0.0884 AU,10.8 days,0.03
1505,1.425 x Earth,Super Earth,Transit,2 Earths,2020,0.0106 AU,0.4 days,0.0
1506,1.072 x Jupiter,Gas Giant,Transit,0.724 Jupiters,2020,0.02996 AU,2.3 days,< 0.041
1507,1.64 x Jupiter,Gas Giant,Transit,0.8 Jupiters,2020,0.0653 AU,5.1 days,0.0
1508,1.11 x Jupiter,Gas Giant,Transit,4.22 Jupiters,2020,0.06 AU,5 days,0.33
1509,1.18 x Jupiter (estimate),Gas Giant,Radial Velocity,0.36 Jupiters,2020,Unknown,3 years,0.28
1510,0.417 x Jupiter,Neptune-like,Transit,37 Earths,2020,0.08598 AU,10.2 days,0.32
1511,0.347 x Jupiter,Neptune-like,Transit,2.6 Jupiters,2020,0.04866 AU,4.3 days,0.34
1512,1.07 x Jupiter,Gas Giant,Transit,0.95 Jupiters,2020,0.092 AU,10.6 days,< 0.125
1513,0.99 x Jupiter,Gas Giant,Transit,1.53 Jupiters,2020,0.097 AU,10.3 days,0.15
1514,0.244 x Jupiter,Neptune-like,Transit,1 Jupiter,2021,0.05741 AU,4.9 days,0.0
1515,1.44 x Earth,Super Earth,Transit,2.67 Earths,2020,0.0341 AU,5.4 days,0.0
1516,0.243 x Jupiter,Neptune-like,Transit,7.85 Earths,2020,0.0392 AU,5.1 days,0.0
1517,1.117 x Jupiter,Gas Giant,Transit,1.942 Jupiters,2020,0.1207 AU,15.2 days,0.57
1518,1.18 x Jupiter (estimate),Gas Giant,Microlensing,2.74 Jupiters,2014,3.03 AU,5.6 years,
1519,0.419 x Jupiter,Neptune-like,Transit,30.8 Earths,2020,0.0417 AU,4.1 days,0.04
1520,0.297 x Jupiter (estimate),Neptune-like,Radial Velocity,11.08 Earths,2020,0.11569 AU,15.7 days,< 0.071
1521,0.271 x Jupiter (estimate),Neptune-like,Radial Velocity,9.44 Earths,2020,0.528 AU,154.4 days,0.12
1522,0.284 x Jupiter (estimate),Neptune-like,Radial Velocity,10.26 Earths,2020,0.198 AU,35.5 days,0.09
1523,0.362 x Jupiter (estimate),Neptune-like,Radial Velocity,15.5 Earths,2020,0.092 AU,11.7 days,0.14
1524,0.852 x Jupiter,Gas Giant,Transit,0.174 Jupiters,2020,0.04963 AU,3.7 days,0.14
1525,1.009 x Earth,Super Earth,Transit,3.3 Earths,2020,0.0983 AU,12.4 days,0.0
1526,0.908 x Earth,Terrestrial,Transit,0.688 Earths,2020,0.0296 AU,2 days,0.0
1527,1.047 x Earth,Super Earth,Transit,1.15 Earths,2020,0.0349 AU,6.8 days,0.0
1528,1.11 x Jupiter (estimate),Gas Giant,Microlensing,11.28 Jupiters,2020,3.04 AU,5.9 years,
1529,1.27 x Jupiter (estimate),Gas Giant,Microlensing,0.51 Jupiters,2020,4.06 AU,9.8 years,
1530,1.18 x Jupiter (estimate),Gas Giant,Microlensing,2.63 Jupiters,2020,3.64 AU,8.7 years,
1531,1.16 x Jupiter (estimate),Gas Giant,Microlensing,3.93 Jupiters,2020,2.63 AU,6 years,
1532,0.357 x Jupiter,Neptune-like,Transit,6 Earths,2020,0.7584 AU,207.6 days,0.11
1533,0.818 x Jupiter,Gas Giant,Transit,0.379 Jupiters,2020,0.0888 AU,8.3 days,0.0
1534,1.048 x Jupiter,Gas Giant,Transit,0.208 Jupiters,2020,0.0757 AU,7.5 days,0.0
1535,0.235 x Jupiter (estimate),Neptune-like,Radial Velocity,7.41 Earths,2020,0.0876 AU,15.5 days,0.0
1536,1.264 x Earth,Super Earth,Transit,1.86 Earths,2020,0.01589 AU,1.2 days,0.0
1537,0.903 x Earth,Terrestrial,Transit,0.674 Earths,2020,0.01223 AU,1.2 days,0.0
1538,1.25 x Jupiter (estimate),Gas Giant,Microlensing,0.67 Jupiters,2020,4.51 AU,9.1 years,
1539,0.284 x Jupiter (estimate),Neptune-like,Microlensing,10.28 Earths,2020,3.31 AU,6.9 years,
1540,0.454 x Jupiter,Neptune-like,Transit,14.1 Earths,2020,0.117 AU,16.1 days,0.19
1541,0.236 x Jupiter,Neptune-like,Transit,6.7 Earths,2020,0.0554 AU,5.2 days,0.13
1542,2.13 x Earth,Neptune-like,Transit,2.88 Earths,2020,0.1047 AU,18.8 days,< 0.34
1543,0.234 x Jupiter,Neptune-like,Transit,4.23 Earths,2020,0.0728 AU,10.9 days,< 0.22
1544,0.804 x Jupiter (estimate),Gas Giant,Microlensing,0.19 Jupiters,2020,0.62 AU,1.6 years,
1545,2.926 x Earth,Super Earth,Transit,18.467 Earths,2020,0.02177 AU,1.4 days,
1546,0.235 x Jupiter,Neptune-like,Transit,9.32 Earths,2020,0.1011 AU,12.3 days,0.04
1547,2.28 x Earth,Super Earth,Transit,9.79 Earths,2020,0.06 AU,5.6 days,0.04
1548,0.421 x Jupiter,Neptune-like,Transit,29.32 Earths,2020,0.01679 AU,0.8 days,0.0
1549,2.582 x Earth,Super Earth,Transit,17.2 Earths,2020,0.146 AU,20.5 days,0.0
1550,2.164 x Earth,Super Earth,Transit,37.3 Earths,2020,0.072 AU,7.1 days,0.0
1551,1.024 x Jupiter,Gas Giant,Transit,0.37 Jupiters,2020,0.03745 AU,3.8 days,0.0
1552,0.856 x Jupiter (estimate),Gas Giant,Radial Velocity,0.21 Jupiters,2020,0.88 AU,2.1 years,0.46
1553,0.928 x Jupiter,Gas Giant,Transit,13.8 Jupiters,2020,0.0204 AU,1.4 days,0.0
1554,1.602 x Earth,Super Earth,Transit,3.2 Earths,2020,0.1275 AU,18.5 days,0.0
1555,2.222 x Earth,Neptune-like,Transit,5.57 Earths,2020,0.5608 AU,169.1 days,0.0
1556,0.259 x Jupiter,Neptune-like,Transit,8.76 Earths,2020,0.7576 AU,234.2 days,0.0
