id,planet_radius,planet_type,discovery_Method,planet_mass,discovery_date,orbital_radius,orbital_period,eccentricity
5144,1.73 x Earth,Super Earth,Transit,3.64 Earths,2016,0.0817 AU,8.2 days,0.0
5145,0.294 x Jupiter,Neptune-like,Transit,10.9 Earths,2016,0.2388 AU,47.1 days,0.0
5146,1.55 x Earth,Super Earth,Transit,3.02 Earths,2016,0.1942 AU,31.2 days,0.0
5147,1.77 x Earth,Super Earth,Transit,3.78 Earths,2016,0.1939 AU,31.8 days,0.0
5148,1.0 x Earth,Terrestrial,Transit,0.972 Earths,2016,0.0548 AU,5.3 days,0.0
5149,1.66 x Earth,Super Earth,Transit,3.39 Earths,2016,0.1803 AU,31.8 days,0.0
5150,1.86 x Earth,Super Earth,Transit,4.12 Earths,2016,0.1694 AU,25.2 days,0.0
5151,0.341 x Jupiter,Neptune-like,Transit,14 Earths,2016,0.3094 AU,65.6 days,0.0
5152,2.03 x Earth,Super Earth,Transit,4.78 Earths,2016,0.1715 AU,29.3 days,0.0
5153,1.96 x Earth,Super Earth,Transit,4.5 Earths,2016,0.1614 AU,30 days,0.0
5154,1.36 x Earth,Super Earth,Transit,2.42 Earths,2016,0.2829 AU,62.9 days,0.0
5155,0.246 x Jupiter,Neptune-like,Transit,8.05 Earths,2016,0.2495 AU,48 days,0.0
5156,1.99 x Earth,Super Earth,Transit,4.62 Earths,2016,0.2668 AU,51.1 days,0.0
5157,1.14 x Earth,Super Earth,Transit,1.55 Earths,2016,0.1132 AU,18.1 days,0.0
5158,2.16 x Earth,Neptune-like,Transit,5.31 Earths,2016,0.2149 AU,49.3 days,0.0
5159,1.88 x Earth,Super Earth,Transit,4.19 Earths,2016,0.2447 AU,47 days,0.0
5160,0.238 x Jupiter,Neptune-like,Transit,7.61 Earths,2016,0.262 AU,47.2 days,0.0
5161,0.241 x Jupiter,Neptune-like,Transit,7.75 Earths,2016,0.2697 AU,42.9 days,0.0
5162,0.299 x Jupiter,Neptune-like,Transit,11.2 Earths,2016,0.2101 AU,35.6 days,0.0
5163,1.71 x Earth,Super Earth,Transit,3.57 Earths,2016,0.2401 AU,54.5 days,0.0
5164,1.68 x Earth,Super Earth,Transit,3.46 Earths,2016,0.1176 AU,13.2 days,0.0
5165,1.61 x Earth,Super Earth,Transit,3.22 Earths,2016,0.1058 AU,12.3 days,0.0
5166,0.259 x Jupiter,Neptune-like,Transit,8.75 Earths,2016,0.2836 AU,56.7 days,0.0
5167,0.82 x Earth,Terrestrial,Transit,0.477 Earths,2016,0.0141 AU,0.7 days,0.0
5168,0.96 x Earth,Terrestrial,Transit,0.84 Earths,2016,0.0948 AU,10.6 days,0.0
5169,2.18 x Earth,Neptune-like,Transit,5.39 Earths,2016,0.2015 AU,33.4 days,0.0
5170,0.97 x Earth,Terrestrial,Transit,0.871 Earths,2016,0.0368 AU,2.4 days,0.0
5171,0.351 x Jupiter,Neptune-like,Transit,14.7 Earths,2016,0.4039 AU,81.4 days,0.0
5172,1.31 x Earth,Super Earth,Transit,2.27 Earths,2016,0.2346 AU,39.4 days,0.0
5173,1.26 x Earth,Super Earth,Transit,2.13 Earths,2016,0.2274 AU,39.9 days,0.0
5174,1.46 x Earth,Super Earth,Transit,2.73 Earths,2016,0.0594 AU,8.1 days,0.0
5175,0.94 x Earth,Terrestrial,Transit,0.779 Earths,2016,0.0346 AU,2.3 days,0.0
5176,1.37 x Earth,Super Earth,Transit,2.45 Earths,2016,0.0951 AU,10.9 days,0.0
5177,1.31 x Earth,Super Earth,Transit,2.27 Earths,2016,0.0907 AU,9.7 days,0.0
5178,0.86 x Earth,Terrestrial,Transit,0.566 Earths,2016,0.0546 AU,4.5 days,0.0
5179,1.11 x Earth,Super Earth,Transit,1.41 Earths,2016,0.0894 AU,8.1 days,0.0
5180,1.56 x Earth,Super Earth,Transit,3.05 Earths,2016,0.0516 AU,4.1 days,0.0
5181,2.22 x Earth,Neptune-like,Transit,5.56 Earths,2016,0.1696 AU,23.9 days,0.0
5182,1.47 x Earth,Super Earth,Transit,2.76 Earths,2016,0.0648 AU,5.9 days,0.0
5183,1.18 x Earth,Super Earth,Transit,1.76 Earths,2016,0.0304 AU,2.5 days,0.0
5184,1.29 x Earth,Super Earth,Transit,2.21 Earths,2016,0.055 AU,4.5 days,0.0
5185,1.64 x Earth,Super Earth,Transit,3.33 Earths,2016,0.1059 AU,10.7 days,0.0
