id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink
113,TOI-1855 b,176.833,1.133 Jupiters,11.197,2024,https://science.nasa.gov/exoplanet-catalog/toi-1855-b/
114,TOI-1823 b,71.6456,0.21206 Jupiters,10.728,2024,https://science.nasa.gov/exoplanet-catalog/toi-1823-b/
115,TOI-1742 b,72.8871,9.7 Earths,8.863,2024,https://science.nasa.gov/exoplanet-catalog/toi-1742-b/
116,TOI-1439 b,230.306,38.5 Earths,10.55,2024,https://science.nasa.gov/exoplanet-catalog/toi-1439-b/
117,TOI-329 b,284.388,0.12711 Jupiters,11.262,2024,https://science.nasa.gov/exoplanet-catalog/toi-329-b/
118,TOI-1798.01,113.181,6.5 Earths,11.361,2024,https://science.nasa.gov/exoplanet-catalog/toi-1798-01/
119,HD 48948 d,16.9043,10.59 Earths,8.58,2024,https://science.nasa.gov/exoplanet-catalog/hd-48948-d/
120,HD 48948 c,16.9043,7.27 Earths,8.58,2024,https://science.nasa.gov/exoplanet-catalog/hd-48948-c/
121,HD 48948 b,16.9043,4.88 Earths,8.58,2024,https://science.nasa.gov/exoplanet-catalog/hd-48948-b/
122,OGLE-2014-BLG-0221L b,3680,4.35 Jupiters,Unknown,2024,https://science.nasa.gov/exoplanet-catalog/ogle-2014-blg-0221l-b/
123,TOI-1224 c,37.3312,8.67 Earths,13.95,2024,https://science.nasa.gov/exoplanet-catalog/toi-1224-c/
124,TOI-1224 b,37.3312,5.08 Earths,13.95,2024,https://science.nasa.gov/exoplanet-catalog/toi-1224-b/
125,TOI-669 b,142.867,10 Earths,10.606,2023,https://science.nasa.gov/exoplanet-catalog/toi-669-b/
126,HD 42813 b,68.192,9.1 Earths,9.49,2023,https://science.nasa.gov/exoplanet-catalog/hd-42813-b/
127,TOI-663 d,64.2308,5.2 Earths,13.667,2024,https://science.nasa.gov/exoplanet-catalog/toi-663-d/
128,TOI-663 c,64.2308,3.65 Earths,13.667,2024,https://science.nasa.gov/exoplanet-catalog/toi-663-c/
129,TOI-663 b,64.2308,4.45 Earths,13.667,2024,https://science.nasa.gov/exoplanet-catalog/toi-663-b/
130,KMT-2023-BLG-1431L b,6800,13.6 Earths,Unknown,2024,https://science.nasa.gov/exoplanet-catalog/kmt-2023-blg-1431l-b/
131,TIC 365102760 b,555.546,19.2 Earths,12.154,2024,https://science.nasa.gov/exoplanet-catalog/tic-365102760-b/
132,BD-14 3065 b,589.423,12.37 Jupiters,11.1,2024,https://science.nasa.gov/exoplanet-catalog/bd-14-3065-b/
133,TOI-3071 b,485.219,0.21458 Jupiters,12.383,2024,https://science.nasa.gov/exoplanet-catalog/toi-3071-b/
134,TOI-2374 b,134.655,0.17821 Jupiters,12.095,2024,https://science.nasa.gov/exoplanet-catalog/toi-2374-b/
135,HD 284149 AB b,117.807,26.28 Jupiters,9.57,2017,https://science.nasa.gov/exoplanet-catalog/hd-284149-ab-b/
136,TOI-5076 b,82.857,16 Earths,10.9,2024,https://science.nasa.gov/exoplanet-catalog/toi-5076-b/
137,KMT-2023-BLG-0735L b,6390,38.77507 Earths,Unknown,2024,https://science.nasa.gov/exoplanet-catalog/kmt-2023-blg-0735l-b/
138,KMT-2023-BLG-0469L b,7070,39.41072 Earths,Unknown,2024,https://science.nasa.gov/exoplanet-catalog/kmt-2023-blg-0469l-b/
139,MOA-2022-BLG-563L b,6530,0.4 Jupiters,Unknown,2024,https://science.nasa.gov/exoplanet-catalog/moa-2022-blg-563l-b/
140,NGTS-26 b,1093.69,0.292 Jupiters,15.009,2024,https://science.nasa.gov/exoplanet-catalog/ngts-26-b/
141,NGTS-27 b,942.122,0.593 Jupiters,13.523,2024,https://science.nasa.gov/exoplanet-catalog/ngts-27-b/
142,TOI-2120 b,32.1755,6.8 Earths,15.648,2024,https://science.nasa.gov/exoplanet-catalog/toi-2120-b/
143,TOI-1448 b,73.3345,19.5 Earths,15.678,2024,https://science.nasa.gov/exoplanet-catalog/toi-1448-b/
144,TOI-782 b,52.5122,19.1 Earths,14.83,2024,https://science.nasa.gov/exoplanet-catalog/toi-782-b/
145,TOI-4527.01,18.1037,0.689 Earths,10.917,2024,https://science.nasa.gov/exoplanet-catalog/toi-4527-01/
146,TOI-5388.01,18.5226,4.25 Earths,12.728,2024,https://science.nasa.gov/exoplanet-catalog/toi-5388-01/
147,TOI-5082.01,43.1406,7.03 Earths,8.25,2024,https://science.nasa.gov/exoplanet-catalog/toi-5082-01/
148,TOI-4602.01,63.0637,7.04 Earths,8.32,2024,https://science.nasa.gov/exoplanet-catalog/toi-4602-01/
149,TOI-4495.01,132.214,12.8 Earths,9.531,2024,https://science.nasa.gov/exoplanet-catalog/toi-4495-01/
150,TOI-4443.01,56.0739,3.6 Earths,8.493,2024,https://science.nasa.gov/exoplanet-catalog/toi-4443-01/
151,TOI-3353.01,78.7577,7.59 Earths,9.327,2024,https://science.nasa.gov/exoplanet-catalog/toi-3353-01/
152,TOI-1806.01,55.5211,11.5 Earths,15.193,2024,https://science.nasa.gov/exoplanet-catalog/toi-1806-01/
153,TOI-1683.01,51.1884,7.45 Earths,10.97,2024,https://science.nasa.gov/exoplanet-catalog/toi-1683-01/
